[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215071 18-07-31 03:24:44][HTSNetworkProfile] log network(AFNetworking) total_speed(count:560):1763.20 KB/s, recent_speed(count:10):1336.18 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215265 18-07-31 03:24:54][HTSNetworkProfile] log network(AFNetworking) total_speed(count:560):1763.20 KB/s, recent_speed(count:10):1336.18 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215265 18-07-31 03:25:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:560):1763.20 KB/s, recent_speed(count:10):1336.18 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215265 18-07-31 03:25:14][HTSNetworkProfile] log network(AFNetworking) total_speed(count:560):1763.20 KB/s, recent_speed(count:10):1336.18 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215427 18-07-31 03:25:24][HTSNetworkProfile] log network(AFNetworking) total_speed(count:560):1763.20 KB/s, recent_speed(count:10):1336.18 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215376 18-07-31 03:25:34][HTSNetworkProfile] log network(AFNetworking) total_speed(count:561):1762.32 KB/s, recent_speed(count:10):1355.35 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215376 18-07-31 03:25:44][HTSNetworkProfile] log network(AFNetworking) total_speed(count:561):1762.32 KB/s, recent_speed(count:10):1355.35 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215475 18-07-31 03:25:54][HTSNetworkProfile] log network(AFNetworking) total_speed(count:561):1762.32 KB/s, recent_speed(count:10):1355.35 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215427 18-07-31 03:26:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:561):1762.32 KB/s, recent_speed(count:10):1355.35 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215428 18-07-31 03:26:14][HTSNetworkProfile] log network(AFNetworking) total_speed(count:561):1762.32 KB/s, recent_speed(count:10):1355.35 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215376 18-07-31 03:26:24][HTSNetworkProfile] log network(AFNetworking) total_speed(count:561):1762.32 KB/s, recent_speed(count:10):1355.35 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215376 18-07-31 03:26:34][HTSNetworkProfile] log network(AFNetworking) total_speed(count:561):1762.32 KB/s, recent_speed(count:10):1355.35 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215475 18-07-31 03:26:44][HTSNetworkProfile] log network(AFNetworking) total_speed(count:561):1762.32 KB/s, recent_speed(count:10):1355.35 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215475 18-07-31 03:26:54][HTSNetworkProfile] log network(AFNetworking) total_speed(count:561):1762.32 KB/s, recent_speed(count:10):1355.35 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215376 18-07-31 03:27:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:561):1762.32 KB/s, recent_speed(count:10):1355.35 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215739 18-07-31 03:27:14][HTSNetworkProfile] log network(AFNetworking) total_speed(count:561):1762.32 KB/s, recent_speed(count:10):1355.35 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215696 18-07-31 03:27:24][HTSNetworkProfile] log network(AFNetworking) total_speed(count:561):1762.32 KB/s, recent_speed(count:10):1355.35 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215739 18-07-31 03:27:34][HTSNetworkProfile] log network(AFNetworking) total_speed(count:562):1763.22 KB/s, recent_speed(count:10):1385.95 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215739 18-07-31 03:27:44][HTSNetworkProfile] log network(AFNetworking) total_speed(count:562):1763.22 KB/s, recent_speed(count:10):1385.95 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215739 18-07-31 03:27:54][HTSNetworkProfile] log network(AFNetworking) total_speed(count:562):1763.22 KB/s, recent_speed(count:10):1385.95 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215739 18-07-31 03:28:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:562):1763.22 KB/s, recent_speed(count:10):1385.95 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215877 18-07-31 03:28:14][HTSNetworkProfile] log network(AFNetworking) total_speed(count:562):1763.22 KB/s, recent_speed(count:10):1385.95 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215739 18-07-31 03:28:24][HTSNetworkProfile] log network(AFNetworking) total_speed(count:562):1763.22 KB/s, recent_speed(count:10):1385.95 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215959 18-07-31 03:28:34][HTSNetworkProfile] log network(AFNetworking) total_speed(count:562):1763.22 KB/s, recent_speed(count:10):1385.95 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215739 18-07-31 03:28:44][HTSNetworkProfile] log network(AFNetworking) total_speed(count:562):1763.22 KB/s, recent_speed(count:10):1385.95 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:215877 18-07-31 03:28:54][HTSNetworkProfile] log network(AFNetworking) total_speed(count:563):1759.29 KB/s, recent_speed(count:10):1333.61 KB/s
[D -[HTSNetworkProfile startLogTimer]_block_invoke_2:149 HTSNetworkProfile:216103 18-07-31 03:29:04][HTSNetworkProfile] log network(AFNetworking) total_speed(count:563):1759.29 KB/s, recent_speed(count:10):1333.61 KB/s
